zone_name,start_time,end_time,duration_s,name_sat_doing_observation
Sahara_Desert,2026-05-01T08:29:05.74767716480728768Z,2026-05-01T08:30:24.698981039123582832Z,78.9513038743163,EO_Sat_1
Japan_Region,2026-05-01T12:09:43.846703876723739072Z,2026-05-01T12:11:58.828420490150863776Z,134.98171661342712,EO_Sat_1
Australian_Outback,2026-05-01T12:25:40.107450324482459136Z,2026-05-01T12:27:59.337406664725465824Z,139.229956340243,EO_Sat_1
Antarctica_Peninsula,2026-05-01T12:49:19.576845187747283489Z,2026-05-01T12:51:48.20742850036801248Z,148.63058331262073,EO_Sat_1
Amazon_Rainforest,2026-05-01T13:05:45.293819407718518048Z,2026-05-01T13:07:20.374655054224393088Z,95.08083564650588,EO_Sat_1
Greenland_Ice,2026-05-01T13:24:50.947765799338201728Z,2026-05-01T13:27:18.109095747157669376Z,147.16132994781947,EO_Sat_1
Alaska_Region,2026-05-01T19:41:51.690515659197233616Z,2026-05-01T19:43:07.59274180810531834Z,75.90222614890808,EO_Sat_1
South_Africa,2026-05-01T20:20:11.45747697932599112Z,2026-05-01T20:21:50.78152985991688912Z,99.3240528805909,EO_Sat_1
Greenland_Ice,2026-05-01T23:01:57.4145798202669248Z,2026-05-01T23:02:52.529287770813214592Z,55.11470795054629,EO_Sat_1
Australian_Outback,2026-05-02T00:01:35.684443758364766832Z,2026-05-02T00:03:12.749263353864778752Z,97.06481959550001,EO_Sat_1
Japan_Region,2026-05-02T00:17:12.337796687636699072Z,2026-05-02T00:19:35.412455839636793824Z,143.0746591520001,EO_Sat_1
Greenland_Ice,2026-05-02T00:36:39.299598942576965792Z,2026-05-02T00:38:50.387467428649659264Z,131.0878684860727,EO_Sat_1
Amazon_Rainforest,2026-05-02T00:57:03.072063303713337536Z,2026-05-02T00:57:47.53896139390487224Z,44.466898090191535,EO_Sat_1
Antarctica_Peninsula,2026-05-02T01:12:11.230531302237766784Z,2026-05-02T01:14:13.858166695369407552Z,122.62763539313164,EO_Sat_1
Alaska_Region,2026-05-02T06:57:05.161661860926658816Z,2026-05-02T06:58:21.681987077056663104Z,76.52032521613,EO_Sat_1
South_Africa,2026-05-02T07:52:40.57590283853712026Z,2026-05-02T07:55:04.484155184851959344Z,143.90825234631484,EO_Sat_1
Sahara_Desert,2026-05-01T08:28:22.295713784874835712Z,2026-05-01T08:30:37.615431323884849916Z,135.31971753901,EO_Sat_2
Paris,2026-05-01T08:35:11.669714724727982688Z,2026-05-01T08:37:29.418541683522648768Z,137.74882695879467,EO_Sat_2
Alaska_Region,2026-05-01T08:52:34.644301039507781752Z,2026-05-01T08:54:55.282436853349936448Z,140.63813581384215,EO_Sat_2
Greenland_Ice,2026-05-01T10:16:43.488192626706877488Z,2026-05-01T10:18:06.33264735278382432Z,82.84445472607695,EO_Sat_2
Greenland_Ice,2026-05-01T11:49:44.54379531605329248Z,2026-05-01T11:51:30.576317714291435548Z,106.03252239823814,EO_Sat_2
Japan_Region,2026-05-01T12:09:04.136727054142029376Z,2026-05-01T12:10:39.391497904477291744Z,95.25477085033526,EO_Sat_2
Australian_Outback,2026-05-01T12:24:43.707818821407927312Z,2026-05-01T12:26:45.451011948862942512Z,121.74319312745502,EO_Sat_2
Amazon_Rainforest,2026-05-01T13:04:37.011107815573923264Z,2026-05-01T13:05:52.220672409958497152Z,75.20956459438457,EO_Sat_2
Antarctica_Peninsula,2026-05-01T14:22:08.648529383061686528Z,2026-05-01T14:24:30.45801884515705752Z,141.80948946209537,EO_Sat_2
Gulf_of_Mexico,2026-05-01T14:46:15.502754430110799152Z,2026-05-01T14:47:14.07395163912471616Z,58.57119720901392,EO_Sat_2
Alaska_Region,2026-05-01T19:38:44.809185755052312736Z,2026-05-01T19:39:50.234689624033053376Z,65.42550386898074,EO_Sat_2
Paris,2026-05-01T21:29:54.011275064686487872Z,2026-05-01T21:31:45.603981942613900173Z,111.59270687792741,EO_Sat_2
Antarctica_Peninsula,2026-05-01T23:35:10.799992675891844544Z,2026-05-01T23:35:53.542824868591851552Z,42.74283219270001,EO_Sat_2
Greenland_Ice,2026-05-02T02:05:58.052467604959674624Z,2026-05-02T02:08:23.176967614074528704Z,145.12450000911485,EO_Sat_2
Gulf_of_Mexico,2026-05-02T03:53:01.170785095468745536Z,2026-05-02T03:54:23.41834225457452704Z,82.24755715910578,EO_Sat_2
