a,e,i,t,firing,detected_by_GS
13378137.000000,0.005000,0.872665,0.000000,0,0
13378202.161947,0.004993,0.872667,60.000000,0,0
13378261.034137,0.004986,0.872668,120.000000,0,0
13378313.480741,0.004979,0.872670,180.000000,0,0
13378359.381708,0.004971,0.872671,240.000000,0,0
13378398.633019,0.004963,0.872673,300.000000,0,0
13378431.146856,0.004954,0.872673,360.000000,0,0
13378456.851974,0.004946,0.872674,420.000000,0,0
13378475.693669,0.004937,0.872675,480.000000,0,0
13378487.634003,0.004928,0.872675,540.000000,0,0
13378492.651836,0.004919,0.872675,600.000000,0,0
13378490.742800,0.004910,0.872675,660.000000,0,0
13378481.919453,0.004901,0.872675,720.000000,0,0
13378466.211042,0.004893,0.872674,780.000000,0,0
13378443.663509,0.004884,0.872673,840.000000,0,0
13378414.339312,0.004875,0.872672,900.000000,0,0
13378378.317179,0.004867,0.872671,960.000000,0,0
13378335.692041,0.004859,0.872670,1020.000000,0,0
13378286.574588,0.004851,0.872668,1080.000000,0,0
13378231.091052,0.004844,0.872666,1140.000000,0,0
13378169.382825,0.004837,0.872664,1200.000000,0,0
13378101.606002,0.004831,0.872662,1260.000000,0,0
13378027.931116,0.004825,0.872660,1320.000000,0,0
13377948.542502,0.004819,0.872657,1380.000000,0,0
13377863.637893,0.004814,0.872654,1440.000000,0,0
13377773.427858,0.004810,0.872651,1500.000000,0,0
13377678.135182,0.004806,0.872648,1560.000000,0,0
13377577.994441,0.004803,0.872645,1620.000000,0,0
13377473.251214,0.004800,0.872642,1680.000000,0,0
13377364.161548,0.004799,0.872638,1740.000000,0,0
13377250.991268,0.004798,0.872634,1800.000000,0,0
13377134.015240,0.004797,0.872631,1860.000000,0,0
13377013.516842,0.004797,0.872627,1920.000000,0,0
13376889.787087,0.004798,0.872623,1980.000000,0,0
13376763.124000,0.004800,0.872619,2040.000000,0,0
13376633.831860,0.004802,0.872615,2100.000000,0,0
13376502.220403,0.004805,0.872610,2160.000000,0,0
13376368.604235,0.004809,0.872606,2220.000000,0,0
13376233.301919,0.004813,0.872602,2280.000000,0,0
13376096.635317,0.004818,0.872597,2340.000000,0,0
13375958.928805,0.004824,0.872593,2400.000000,0,0
13375820.508460,0.004830,0.872588,2460.000000,0,0
13375681.701470,0.004836,0.872584,2520.000000,0,0
13375542.835214,0.004843,0.872580,2580.000000,0,0
13375404.236611,0.004850,0.872575,2640.000000,0,0
13375266.231353,0.004858,0.872571,2700.000000,0,0
13375129.143110,0.004866,0.872566,2760.000000,0,0
13374993.292965,0.004875,0.872562,2820.000000,0,0
13374858.998531,0.004884,0.872558,2880.000000,0,0
13374726.573339,0.004893,0.872553,2940.000000,0,0
13374596.326118,0.004902,0.872549,3000.000000,0,0
13374468.560051,0.004911,0.872545,3060.000000,0,0
13374343.572272,0.004920,0.872541,3120.000000,0,0
13374221.653042,0.004930,0.872537,3180.000000,0,0
13374103.085219,0.004939,0.872533,3240.000000,0,0
13373988.143599,0.004948,0.872530,3300.000000,0,0
13373877.094271,0.004957,0.872526,3360.000000,0,0
13373770.194190,0.004966,0.872523,3420.000000,0,0
13373667.690451,0.004975,0.872519,3480.000000,0,0
13373569.819859,0.004983,0.872516,3540.000000,0,0
13373476.808371,0.004991,0.872513,3600.000000,0,0
13373388.870564,0.004999,0.872510,3660.000000,0,0
13373306.209316,0.005007,0.872508,3720.000000,0,0
13373229.015206,0.005013,0.872505,3780.000000,0,0
13373157.466198,0.005020,0.872503,3840.000000,0,0
13373091.727220,0.005026,0.872501,3900.000000,0,0
13373031.949751,0.005031,0.872499,3960.000000,0,0
13372978.271649,0.005036,0.872497,4020.000000,0,0
13372930.816682,0.005041,0.872495,4080.000000,0,0
13372889.694355,0.005045,0.872494,4140.000000,0,0
13372854.999637,0.005048,0.872493,4200.000000,0,0
13372826.812695,0.005050,0.872492,4260.000000,0,0
13372805.198873,0.005052,0.872491,4320.000000,0,0
13372790.208378,0.005053,0.872491,4380.000000,0,0
13372781.876267,0.005054,0.872491,4440.000000,0,0
13372780.222326,0.005054,0.872490,4500.000000,0,0
13372785.250974,0.005053,0.872491,4560.000000,0,0
13372796.951399,0.005052,0.872491,4620.000000,0,0
13372815.297414,0.005050,0.872492,4680.000000,0,0
13372840.247603,0.005047,0.872492,4740.000000,0,0
13372871.745377,0.005044,0.872493,4800.000000,0,0
13372909.719036,0.005040,0.872494,4860.000000,0,0
13372954.082080,0.005035,0.872496,4920.000000,0,0
13373004.733226,0.005030,0.872498,4980.000000,0,0
13373061.556725,0.005025,0.872499,5040.000000,0,0
13373124.422582,0.005019,0.872501,5100.000000,0,0
13373193.186778,0.005012,0.872503,5160.000000,0,0
13373267.691744,0.005005,0.872506,5220.000000,0,0
13373347.766540,0.004998,0.872508,5280.000000,0,0
13373433.227318,0.004990,0.872511,5340.000000,0,0
13373523.877701,0.004982,0.872514,5400.000000,0,0
13373619.509147,0.004973,0.872517,5460.000000,0,0
13373719.901569,0.004965,0.872520,5520.000000,0,0
13373824.823647,0.004956,0.872524,5580.000000,0,0
13373934.033433,0.004947,0.872527,5640.000000,0,0
13374047.278845,0.004938,0.872531,5700.000000,0,0
13374164.298167,0.004929,0.872534,5760.000000,0,0
13374284.820774,0.004919,0.872538,5820.000000,0,0
13374408.567565,0.004910,0.872542,5880.000000,0,0
13374535.251667,0.004901,0.872546,5940.000000,0,0
13374664.579034,0.004892,0.872550,6000.000000,0,0
13374796.249039,0.004884,0.872554,6060.000000,0,0
13374929.955294,0.004875,0.872559,6120.000000,0,0
13375065.386159,0.004867,0.872563,6180.000000,0,0
13375202.225531,0.004859,0.872567,6240.000000,0,0
13375340.153515,0.004852,0.872572,6300.000000,0,0
13375478.847082,0.004844,0.872576,6360.000000,0,0
13375617.980951,0.004838,0.872581,6420.000000,0,0
13375757.228156,0.004832,0.872585,6480.000000,0,0
13375896.260888,0.004826,0.872589,6540.000000,0,0
13376034.751203,0.004821,0.872594,6600.000000,0,0
13376172.371724,0.004817,0.872598,6660.000000,0,0
13376308.796554,0.004813,0.872602,6720.000000,0,0
13376443.701864,0.004809,0.872607,6780.000000,0,0
13376576.766752,0.004807,0.872611,6840.000000,0,0
13376707.673965,0.004805,0.872615,6900.000000,0,0
13376836.110595,0.004804,0.872619,6960.000000,0,0
13376961.768989,0.004803,0.872623,7020.000000,0,0
13377084.347315,0.004803,0.872627,7080.000000,0,0
13377203.550401,0.004804,0.872631,7140.000000,0,0
13377319.090416,0.004806,0.872634,7200.000000,0,0
13377430.687521,0.004808,0.872638,7260.000000,0,0
13377538.070725,0.004811,0.872641,7320.000000,0,0
13377640.978386,0.004814,0.872644,7380.000000,0,0
13377739.158968,0.004818,0.872648,7440.000000,0,0
13377832.371641,0.004823,0.872650,7500.000000,0,0
13377920.386836,0.004828,0.872653,7560.000000,0,0
13378002.986990,0.004834,0.872656,7620.000000,0,0
13378079.966937,0.004840,0.872658,7680.000000,0,0
13378151.134538,0.004847,0.872660,7740.000000,0,0
13378216.311147,0.004854,0.872662,7800.000000,0,0
13378275.332024,0.004862,0.872664,7860.000000,0,0
13378328.046938,0.004870,0.872666,7920.000000,0,0
