zone_name,start_time,end_time,duration_s,name_sat_doing_observation
Gulf_of_Guinea,2026-04-13T20:30:17.059910904467421456Z,2026-04-13T20:50:05.628183921233705408Z,1067.887613665537,Sat_real_1
Congo_Basin,2026-04-13T20:34:09.060571613185295056Z,2026-04-13T20:56:26.740192256701568128Z,1206.3765767737962,Sat_real_1
East_Africa,2026-04-13T20:36:17.858473521552361488Z,2026-04-13T20:56:49.820224284070383872Z,1087.7579272479848,Sat_real_1
Arabian_Peninsula,2026-04-13T20:44:32.362569656136094656Z,2026-04-13T21:05:51.952272529703470354Z,1162.7822979011646,Sat_real_1
Bay_of_Bengal,2026-04-13T20:56:16.796758985570824736Z,2026-04-13T21:15:52.166821464534797984Z,1017.6583756011223,Sat_real_1
South_China_Sea,2026-04-13T21:05:39.635342161828368256Z,2026-04-13T21:23:25.909735503386975328Z,874.8897712992298,Sat_real_1
Equator_Pacific,2026-04-13T21:28:01.31963558469363488Z,2026-04-13T21:50:15.125622564752695328Z,1199.7481758678077,Sat_real_1
Amazon_Brazil,2026-04-13T22:07:39.973331608542714094Z,2026-04-13T22:23:56.748327041626573184Z,729.5339114510643,Sat_real_1
East_Africa,2026-04-13T22:35:24.290124078772016192Z,2026-04-13T22:43:46.833172203405076288Z,502.54304812463306,Sat_real_1
Gulf_of_Guinea,2026-04-13T22:24:02.71116419076736928Z,2026-04-13T22:44:54.242415808006291616Z,1175.03640085376,Sat_real_1
Sahara_Algeria,2026-04-13T22:30:49.307845595930877632Z,2026-04-13T22:48:21.89587613738843356Z,933.7586235991675,Sat_real_1
Congo_Basin,2026-04-13T22:30:19.151017355971482176Z,2026-04-13T22:48:31.936032858293066964Z,1041.9884000272477,Sat_real_1
Arabian_Peninsula,2026-04-13T22:39:13.406729535253936768Z,2026-04-13T22:59:26.786821922627161248Z,1169.9424421469557,Sat_real_1
Bay_of_Bengal,2026-04-13T22:53:00.801580747523650656Z,2026-04-13T23:09:13.716436454696697184Z,972.914855707173,Sat_real_1
Indonesia,2026-04-13T21:13:59.472820129010080576Z,2026-04-13T23:17:51.919225805480557032Z,22.35084524627291,Sat_real_1
South_China_Sea,2026-04-13T23:01:12.577077827903514816Z,2026-04-13T23:18:41.343946931992497408Z,962.194314579111,Sat_real_1
Equator_Pacific,2026-04-13T23:23:43.72832985363823536Z,2026-04-13T23:41:53.756324152643748672Z,1090.0279942990055,Sat_real_1
Amazon_Brazil,2026-04-14T00:01:40.538035149185481728Z,2026-04-14T00:20:22.592473999182067904Z,893.1731311324811,Sat_real_1
Congo_Basin,2026-04-14T00:29:32.941779491611334378Z,2026-04-14T00:38:10.568553610473492864Z,517.6267741188622,Sat_real_1
Gulf_of_Guinea,2026-04-14T00:20:03.684814166210009728Z,2026-04-14T00:38:49.029750945988445888Z,1066.84183912345,Sat_real_1
Sahara_Algeria,2026-04-14T00:23:08.10072780560006504Z,2026-04-14T00:43:00.05401522638715688Z,1048.663509175165,Sat_real_1
Arabian_Peninsula,2026-04-14T00:35:10.889708945743797816Z,2026-04-14T00:53:45.34579822353555936Z,1114.4560892777918,Sat_real_1
Bay_of_Bengal,2026-04-14T00:48:26.403935236546778496Z,2026-04-14T01:06:58.837413384384155504Z,1092.1631973950161,Sat_real_1
Indonesia,2026-04-14T00:57:35.059887734163232384Z,2026-04-14T01:15:08.098867639482370576Z,1053.0389799053191,Sat_real_1
South_China_Sea,2026-04-14T00:55:37.546724966164794752Z,2026-04-14T01:15:22.482839470665232512Z,962.194314579111,Sat_real_1
Equator_Pacific,2026-04-14T01:22:15.036391005594516176Z,2026-04-14T01:34:08.959026825211942196Z,693.5369990834552,Sat_real_1
Amazon_Brazil,2026-04-14T01:55:54.93644284289405914Z,2026-04-14T02:16:54.982214059667632684Z,893.1731311324811,Sat_real_1
Gulf_of_Guinea,2026-04-14T02:18:30.477441614320588992Z,2026-04-14T02:30:14.494502307495742592Z,704.0170606931752,Sat_real_1
